        14.48   16.7    20.03   25.78   39.23
-0.5    0.0662  0.0882  0.127   0.212   0.506
-0.25   0.0787  0.101   0.139   0.218   0.464
0.0     0.0925  0.115   0.151   0.221   0.421
0.25    0.108   0.129   0.162   0.222   0.379
0.5     0.124   0.143   0.172   0.222   0.339
0.75    0.142   0.158   0.181   0.219   0.3
1.0     0.16    0.172   0.189   0.214   0.264
1.25    0.18    0.186   0.195   0.208   0.231
1.5     0.2     0.2     0.2     0.2     0.2
1.75    0.221   0.213   0.203   0.191   0.172
2.0     0.241   0.225   0.205   0.181   0.148
2.25    0.262   0.236   0.206   0.171   0.126
2.5     0.283   0.246   0.205   0.16    0.107
2.75    0.304   0.254   0.203   0.149   0.0899
3.0     0.324   0.262   0.2     0.138   0.0756

